Rank,Lister,Artist,Album,# of lists,98
1,Aaron,The Dirty Nil,Fuck Art,,
2,Aaron,Whitechapel,Kin,,
3,Aaron,That Handsome Devil,Your Parents Are Sellouts,,
4,Aaron,Billie Eilish,Happier Than Ever,,
5,Aaron,Lorna Shore,...And I Return To Nothingness,,
6,Aaron,Amigo the Devil,Born Against,,
7,Aaron,Twelve Foot Ninja,Vengeance,,
8,Aaron,Greta Van Fleet,The Battle at Garden’s Gate,,
9,Aaron,Devil Electric,Godless,,
10,Aaron,Brojob,The Heaviest Album of All Time,,
1,Adrian,Dave,We’re All Alone in this Together,,
2,Adrian,Rezz,Spiral,,
3,Adrian,Kanye West,Donda,,
4,Adrian,Lavish,The Northside,,
5,Adrian,Brockhampton,Roadrunner,,
6,Adrian,Silk Sonic,An Evening With Silk Sonic,,
7,Adrian,Illenium,Fallen Embers,,
8,Adrian,ABBA,Voyage,,
9,Adrian,Central Cee,Wild West,,
10,Adrian,Digga D,Made in the Pyrex,,
1,Adriana,Charlotte Cardin,Phoenix,,
2,Adriana,Lil Nas X,Montero,,
3,Adriana,Justin Bieber,Justice,,
4,Adriana,Oh Wonder,22 Break,,
5,Adriana,Adele,30,,
6,Adriana,Olivia Rodrigo,Sour,,
7,Adriana,Kacey Musgraves,star-crossed,,
8,Adriana,ABBA,Voyage,,
9,Adriana,Halsey,"If I Can't Have Love, I Want Power",,
10,Adriana,Bo Burnham,Inside (The Songs),,
1,Alastair,Turnstile,Glow On,,
2,Alastair,"nothing, nowhere.",Trauma Factory,,
3,Alastair,Bilmuri,400Lb Back Squat,,
4,Alastair,Knocked Loose,A Tear in the Fabric of Life,,
5,Alastair,ICE NINE KILLS,Welcome To Horrorwood: The Silver Scream 2,,
6,Alastair,Invent Animate,"The Sun Sleeps, As If It Never Was",,
7,Alastair,Silent Planet,Iridescent,,
8,Alastair,Architects,For Those That Wish to Exist,,
9,Alastair,Every Time I Die,Radical,,
10,Alastair,SeeYouSpaceCowboy...,The Romance of Affliction,,
1,Alex,Bo Burnham,Inside (The Songs),,
2,Alex,Greta Van Fleet,The Battle at Garden’s Gate,,
3,Alex,Lil Nas X,Montero,,
4,Alex,Ben Platt,Reverie,,
5,Alex,Matt Maltese,Good Morning It's Now Tomorrow,,
6,Alex,Elton John,The Lockdown Sessions,,
7,Alex,ABBA,Voyage,,
8,Alex,Tigers Jaw,I Won't Care How You Remember Me,,
9,Alex,Qveen Herby,A Woman,,
10,Alex,Hobo Johnson,The Revenge of Hobo Johnson,,
1,Alpaca,Jordan Rowe,Bad Case of the Good Ole Boy,,
2,Alpaca,Morgan Wallen,Dangerous: the Double Album,,
3,Alpaca,Cody Johnson,Human: The Double Album,,
4,Alpaca,Lainey Wilson,Sayin' What I'm Thinkin',,
5,Alpaca,Scotty McCreery,Same Truck,,
6,Alpaca,Dillon Carmichael,Son Of A,,
7,Alpaca,Alan Jackson,Where Have You Gone,,
8,Alpaca,Canaan Smith,High Country Sound,,
9,Alpaca,HIXTAPE,HIXTAPE: Vol. 2,,
10,Alpaca,Larry Fleet,Stack of Records,,
1,Amy S.,The Aubreys,Karaoke Alone,,
2,Amy S.,Current Joys,Voyager,,
3,Amy S.,Alice Phoebe Lou,Child's Play,,
4,Amy S.,Billie Eilish,Happier Than Ever,,
5,Amy S.,Fleece,Stunning & Atrocious,,
6,Amy S.,Japanese Breakfast,Jubilee,,
7,Amy S.,Snail Mail,Valentine,,
8,Amy S.,Sipper,Pink Songs,,
9,Amy S.,Clairo,Sling,,
10,Amy S.,Doja Cat,Planet Her,,
1,Amy T.,Snail Mail,Valentine,,
2,Amy T.,Billie Eilish,Happier Than Ever,,
3,Amy T.,Julien Baker,Little Oblivions,,
4,Amy T.,Lucy Dacus,Home Video,,
5,Amy T.,Lil Nas X,Montero,,
6,Amy T.,Halsey,"If I Can't Have Love, I Want Power",,
7,Amy T.,Silk Sonic,An Evening With Silk Sonic,,
8,Amy T.,Megan Thee Stallion,Something For Thee Hotties,,
9,Amy T.,Lorde,Solar Power,,
10,Amy T.,The Killers,Pressure Machine,,
1,Anna,Morgan Wallen,Dangerous: the Double Album,,
2,Anna,LANY,gg bb xx,,
3,Anna,Warren Zeiders,717 Tapes,,
4,Anna,Olivia Rodrigo,Sour,,
5,Anna,Justin Bieber,Justice,,
6,Anna,Drake,Certified Lover Boy,,
7,Anna,Ian Munsick,Coyote Cry,,
8,Anna,CHASE WRIGHT,INTERTWINED,,
9,Anna,Kacey Musgraves,star-crossed,,
10,Anna,Lil Nas X,Montero,,
1,Anthony,Field Music,Flat White Moon,,
2,Anthony,Mild High Club,Going Going Gone,,
3,Anthony,The Emerald Isle,The Emerald Isle,,
4,Anthony,Silk Sonic,An Evening With Silk Sonic,,
5,Anthony,Lake Street Dive,Obviously,,
6,Anthony,Men I Trust,Untourable Album,,
7,Anthony,Andy Shauf,Wilds,,
8,Anthony,Yebba,Dawn,,
9,Anthony,The Staves,Good Woman,,
10,Anthony,Parquet Courts,Sympathy for Life,,
1,Ben,"quickly, quickly",The Long and Short of It,,
2,Ben,Mac Ayres,Magic 8ball,,
3,Ben,Benny Sings,Music,,
4,Ben,Kiefer,Between Days,,
5,Ben,Silk Sonic,An Evening With Silk Sonic,,
6,Ben,"Tyler, the Creator",Call Me If You Get Lost,,
7,Ben,Dave,We’re All Alone in this Together,,
8,Ben,Joyce Wrice,Overgrown,,
9,Ben,James Vickery,Songs That Made Me Feel,,
10,Ben,Olivia Rodrigo,Sour,,
1,Brad,Floating Points & Pharaoh Sanders,Promises,,
2,Brad,Every Time I Die,Radical,,
3,Brad,Parcels,Day/Night,,
4,Brad,Turnstile,Glow On,,
5,Brad,Helado Negro,Far In,,
6,Brad,Little Simz,Sometimes I Might Be Introvert,,
7,Brad,"quickly, quickly",The Long and Short of It,,
8,Brad,"Tyler, the Creator",Call Me If You Get Lost,,
9,Brad,Godspeed You! Black Emperor,G_d’s Pee AT STATE’S END!,,
10,Brad,Genesis Owusu,Smiling with No Teeth,,
1,Braden,Dave,We’re All Alone in this Together,,
2,Braden,Silk Sonic,An Evening With Silk Sonic,,
3,Braden,Kanye West,Donda,,
4,Braden,Arlo Parks,Collapsed in Sunbeams,,
5,Braden,Japanese Breakfast,Jubilee,,
6,Braden,KAROL G,KG0516,,
7,Braden,James Blake,Friends That Break Your Heart,,
8,Braden,Lorde,Solar Power,,
9,Braden,Joy Crookes,Skin,,
10,Braden,Baby Keem,The Melodic Blue,,
1,Brandon,Oz,Perfect,,
